#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
has_creeping_buboes;Has Creeping Buboes;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
BLANKNAME;TEXTNAME;;;;;;;;;;;;;x
